datasize,beta,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_z_norm_toagg,test_z_norm_toagg
e100,0.0,1,3.3219244588505137,-2.8956658363342287,3.541726093978716e-06,6.217593860626222,1.0,0.542,-2.454228401363107e-06,-4.30901294356107,11.15156078338623,11.043871879577637
e100,0.0,2,3.3219275908036665,-3.570537281036377,3.727376671556406e-07,6.892465305328369,1.0,0.5348,-2.597690504562896e-07,-4.774451078510198,19.8441313830289,19.696163177490234
e100,0.1,0,3.3173783258958296,-0.8712495803833008,0.004549692469564351,4.193177604675293,1.0,0.5085,-0.0031536897752652924,-2.9035405901960263,1.6454857371070168,1.6317415237426758
e100,0.1,1,3.31738602031361,-0.9783218383789064,0.004542011704126542,4.300249862670898,1.0,0.5087,-0.00314830692730176,-2.9804739414463715,1.6973034956238486,1.6889038801193237
e100,0.1,2,3.317118157039989,-0.7764757633209228,0.004809863547879187,4.098403787612915,1.0,0.5085,-0.0033340168576771073,-2.83805025854001,1.6538133350285618,1.6400377750396729
e100,1.0,0,3.2819486748088487,-0.1500676155090332,0.03997934982180595,3.4719956398010248,0.9999555555555556,0.4993,-0.02771197219307332,-2.4060927362908937,1.157446259802038,1.1524237871170044
e100,1.0,1,3.279694990678267,-0.17718029022216794,0.042233039032329216,3.49910831451416,0.9998666666666668,0.4902,-0.02927744889406486,-2.4247868755007183,1.175813458182595,1.1685847759246826
e100,1.0,2,3.284582647410306,-0.3297869682312012,0.03734539313749834,3.6517149925231935,0.9999555555555556,0.4853,-0.0258854710141941,-2.52912011689156,1.1469460509040141,1.1407156944274903
e100,10.0,0,1.0586071339520542,0.963128137588501,2.263320890339938,2.3587998867034914,0.4580444444444444,0.4271,-1.5688332369429576,-1.6345413106769324,1.0352725034410304,1.0418766021728516
e100,10.0,1,1.0338665680451826,0.9390417575836182,2.2880614562468096,2.382886266708374,0.4525555555555555,0.4232,-1.585965167988371,-1.6515592215973884,1.0256563966924497,1.0316506385803224
e100,10.0,2,1.0160903930664062,0.9363257884979248,2.305837631225586,2.3856022357940674,0.4433111111111111,0.4142,-1.5982838229765497,-1.653483800716698,1.0931343923915515,1.110080361366272
e100,0.01,0,3.3214422355998647,-1.5035737991333007,0.0004857721174961295,4.825501823425293,1.0,0.5346,-0.00033672168812409384,-3.3423517654416366,3.4742170463908804,3.437147855758667
e100,0.01,1,3.3215010166168213,-1.6950420379638669,0.0004270165134750476,5.016970062255861,1.0,0.5354,-0.000295984617571246,-3.475123711056923,3.3290317166935317,3.2850749969482416
e100,0.01,2,3.320176872340116,-1.4162591934204098,0.0017511683241040867,4.738187217712404,0.9998666666666668,0.5366,-0.0012139899308361726,-3.28385127159876,3.247183843092485,3.204523468017578
e100,100.0,0,0.4216889034618031,0.4224666595458985,2.900239120830189,2.899461364746094,0.2865555555555556,0.2881,-2.010298752549125,-2.0093853859461843,1.0673519643870266,1.0741453409194943
e100,100.0,1,0.6187676949934526,0.6038533210754394,2.70316032929854,2.7180747032165526,0.33786666666666665,0.3334,-1.8736873126765088,-1.8840905458442867,0.8730924508788369,0.8712352752685547
e100,100.0,2,0.34869990565560083,0.3477152347564697,2.973228118636392,2.9742127895355224,0.25651111111111113,0.2604,-2.0608779803382027,-2.0616021388620136,1.0917956937443127,1.0887126922607422
e200,1.0,0,3.2819486748088487,-0.1500676155090332,0.03997934982180595,3.4719956398010248,0.9999555555555556,0.4993,-0.02771197219307332,-2.4060927362908937,1.157446259802038,1.1524237871170044
e200,1.0,1,3.279694990678267,-0.17718029022216794,0.042233039032329216,3.49910831451416,0.9998666666666668,0.4902,-0.02927744889406486,-2.4247868755007183,1.175813458182595,1.1685847759246826
e200,1.0,2,3.284582647410306,-0.3297869682312012,0.03734539313749834,3.6517149925231935,0.9999555555555556,0.4853,-0.0258854710141941,-2.52912011689156,1.1469460509040141,1.1407156944274903
e200,100.0,0,0.4216889034618031,0.4224666595458985,2.900239120830189,2.899461364746094,0.2865555555555556,0.2881,-2.010298752549125,-2.0093853859461843,1.0673519643870266,1.0741453409194943
e200,100.0,1,0.6187676949934526,0.6038533210754394,2.70316032929854,2.7180747032165526,0.33786666666666665,0.3334,-1.8736873126765088,-1.8840905458442867,0.8730924508788369,0.8712352752685547
e200,100.0,2,0.34869990565560083,0.3477152347564697,2.973228118636392,2.9742127895355224,0.25651111111111113,0.2604,-2.0608779803382027,-2.0616021388620136,1.0917956937443127,1.0887126922607422
e200,0.0,1,3.3219244588505137,-2.8956658363342287,3.541726093978716e-06,6.217593860626222,1.0,0.542,-2.454228401363107e-06,-4.30901294356107,11.15156078338623,11.043871879577637
e200,0.0,0,3.3219264203851875,-3.801038932800293,1.602653422981927e-06,7.122966957092285,1.0,0.5243,-1.1116014775617423e-06,-4.935009953648826,60.54401033574885,60.246864318847656
e200,0.0,2,3.3219275908036665,-3.570537281036377,3.727376671556406e-07,6.892465305328369,1.0,0.5348,-2.597690504562896e-07,-4.774451078510198,19.8441313830289,19.696163177490234
e200,0.01,1,3.3215010166168213,-1.6950420379638669,0.0004270165134750476,5.016970062255861,1.0,0.5354,-0.000295984617571246,-3.475123711056923,3.3290317166935317,3.2850749969482416
e200,0.01,0,3.3214422355998647,-1.5035737991333007,0.0004857721174961295,4.825501823425293,1.0,0.5346,-0.00033672168812409384,-3.3423517654416366,3.4742170463908804,3.437147855758667
e200,0.01,2,3.320176872340116,-1.4162591934204098,0.0017511683241040867,4.738187217712404,0.9998666666666668,0.5366,-0.0012139899308361726,-3.28385127159876,3.247183843092485,3.204523468017578
e200,10.0,1,1.0338665680451826,0.9390417575836182,2.2880614562468096,2.382886266708374,0.4525555555555555,0.4232,-1.585965167988371,-1.6515592215973884,1.0256563966924497,1.0316506385803224
e200,10.0,0,1.0586071339520542,0.963128137588501,2.263320890339938,2.3587998867034914,0.4580444444444444,0.4271,-1.5688332369429576,-1.6345413106769324,1.0352725034410304,1.0418766021728516
e200,10.0,2,1.0160903930664062,0.9363257884979248,2.305837631225586,2.3856022357940674,0.4433111111111111,0.4142,-1.5982838229765497,-1.653483800716698,1.0931343923915515,1.110080361366272
e200,0.1,0,3.3173783258958296,-0.8712495803833008,0.004549692469564351,4.193177604675293,1.0,0.5085,-0.0031536897752652924,-2.9035405901960263,1.6454857371070168,1.6317415237426758
e200,0.1,2,3.317118157039989,-0.7764757633209228,0.004809863547879187,4.098403787612915,1.0,0.5085,-0.0033340168576771073,-2.83805025854001,1.6538133350285618,1.6400377750396729
e200,0.1,1,3.31738602031361,-0.9783218383789064,0.004542011704126542,4.300249862670898,1.0,0.5087,-0.00314830692730176,-2.9804739414463715,1.6973034956238486,1.6889038801193237
e300,0.01,0,3.3214422355998647,-1.5035737991333007,0.0004857721174961295,4.825501823425293,1.0,0.5346,-0.00033672168812409384,-3.3423517654416366,3.4742170463908804,3.437147855758667
e300,0.01,1,3.3215010166168213,-1.6950420379638669,0.0004270165134750476,5.016970062255861,1.0,0.5354,-0.000295984617571246,-3.475123711056923,3.3290317166935317,3.2850749969482416
e300,0.01,2,3.320176872340116,-1.4162591934204098,0.0017511683241040867,4.738187217712404,0.9998666666666668,0.5366,-0.0012139899308361726,-3.28385127159876,3.247183843092485,3.204523468017578
e300,100.0,0,0.4216889034618031,0.4224666595458985,2.900239120830189,2.899461364746094,0.2865555555555556,0.2881,-2.010298752549125,-2.0093853859461843,1.0673519643870266,1.0741453409194943
e300,100.0,1,0.6187676949934526,0.6038533210754394,2.70316032929854,2.7180747032165526,0.33786666666666665,0.3334,-1.8736873126765088,-1.8840905458442867,0.8730924508788369,0.8712352752685547
e300,100.0,2,0.34869990565560083,0.3477152347564697,2.973228118636392,2.9742127895355224,0.25651111111111113,0.2604,-2.0608779803382027,-2.0616021388620136,1.0917956937443127,1.0887126922607422
e300,0.0,1,3.3219244588505137,-2.8956658363342287,3.541726093978716e-06,6.217593860626222,1.0,0.542,-2.454228401363107e-06,-4.30901294356107,11.15156078338623,11.043871879577637
e300,0.0,0,3.3219264203851875,-3.801038932800293,1.602653422981927e-06,7.122966957092285,1.0,0.5243,-1.1116014775617423e-06,-4.935009953648826,60.54401033574885,60.246864318847656
e300,0.0,2,3.3219275908036665,-3.570537281036377,3.727376671556406e-07,6.892465305328369,1.0,0.5348,-2.597690504562896e-07,-4.774451078510198,19.8441313830289,19.696163177490234
e300,10.0,0,1.0586071339520542,0.963128137588501,2.263320890339938,2.3587998867034914,0.4580444444444444,0.4271,-1.5688332369429576,-1.6345413106769324,1.0352725034410304,1.0418766021728516
e300,10.0,2,1.0160903930664062,0.9363257884979248,2.305837631225586,2.3856022357940674,0.4433111111111111,0.4142,-1.5982838229765497,-1.653483800716698,1.0931343923915515,1.110080361366272
e300,0.1,0,3.3173783258958296,-0.8712495803833008,0.004549692469564351,4.193177604675293,1.0,0.5085,-0.0031536897752652924,-2.9035405901960263,1.6454857371070168,1.6317415237426758
e300,0.1,1,3.31738602031361,-0.9783218383789064,0.004542011704126542,4.300249862670898,1.0,0.5087,-0.00314830692730176,-2.9804739414463715,1.6973034956238486,1.6889038801193237
e300,1.0,0,3.2819486748088487,-0.1500676155090332,0.03997934982180595,3.4719956398010248,0.9999555555555556,0.4993,-0.02771197219307332,-2.4060927362908937,1.157446259802038,1.1524237871170044
