experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,0,5,0.8123879001606594,0.0343696666057262,1.7093102224731447,0.04694934377175407,0.46820000000000006,0.008781799360040065,0.6187066666666667,0.017039774820282343
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,1,5,0.010719847767786547,0.011390041526302326,1.798499176864624,0.05476065348192009,0.49944000000000005,0.007365324161230121,0.9669866666666668,0.004280492645006027
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,2,5,-0.11738096649126575,0.006459695135338517,1.9430494705581665,0.06885840373607385,0.50756,0.007208883408684047,0.9921733333333332,0.001512532011700814
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,3,5,-0.16914555085008795,0.005216380028389899,2.0960935549926756,0.08187319893730054,0.50964,0.006899855070941714,0.9967955555555555,0.0007261262006423355
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,4,5,-0.20244151867172935,0.0053471671958509985,2.258928640670777,0.09117248135933,0.50944,0.007570204752845189,0.9982,0.0003115076837528296
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,5,5,-0.23025460821021687,0.005612968775021364,2.4340457012176513,0.11100001156546122,0.5078400000000001,0.007389722592898843,0.9988311111111111,0.00016674072428713268
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,6,5,-0.2566291977743669,0.006980836235729054,2.637555389709473,0.13239763677235908,0.50524,0.008473960113193846,0.9990311111111112,9.762614505103193e-05
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,7,5,-0.28348869671518157,0.009075058600328216,2.8541691383361814,0.15880256785632366,0.5022,0.008135109095765095,0.9989866666666668,0.00018895423706200712
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,8,5,-0.3117300485350869,0.010673589117561989,3.0870790689849854,0.17831429623735645,0.49788000000000004,0.007794356933063811,0.9985644444444445,0.00037237973450047725
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,9,5,-0.3395136187726801,0.012069355202575648,3.3063613381195074,0.18985849626131657,0.49383999999999995,0.006240833277696164,0.9981022222222222,0.0005281226943115841
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,10,5,-0.367811089850339,0.01311416961701661,3.5358415610504155,0.19967150752135054,0.48927999999999994,0.006322341338459999,0.9974755555555556,0.00043930360153426504
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,11,5,-0.395006523697593,0.013534051397031316,3.7363431419372555,0.20294019430199872,0.48484,0.005928574870911221,0.9971688888888888,0.0002933838340366954
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,12,5,-0.42124645129463884,0.014169482731907612,3.937268793640137,0.20054079689976304,0.48264000000000007,0.006231211760163514,0.9968400000000001,0.0002461556267741884
QminimalityQsFinalNewdata,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,128,1,0,-0.55,13,5,-0.4459196196699143,0.014035456171430335,4.106133891677856,0.2087408507833374,0.47928,0.0056508406454261195,0.9964844444444445,0.00026731402904349373
