datasize,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
b16,100.0,2,0.3845,-4.343092120351518,0.9027333333333334,-0.25357914337173737
b1024,100.0,1,0.4563,-1.704733359017384,0.6598888888888889,-0.9452109303454721
b1024,100.0,2,0.4623,-1.7256415409828114,0.6851333333333334,-0.8738128219834458
b1024,100.0,0,0.4574,-1.715283856164422,0.6715111111111111,-0.9041043113346744
b1024,0.1,2,0.4897,-2.993552810299595,0.9991555555555556,-0.024126300671761844
b1024,0.1,1,0.49200000000000005,-2.9888705611434183,0.9992444444444444,-0.02216016390123644
b1024,0.1,0,0.4824,-2.9588089227382963,0.9992,-0.02532886490988544
b1024,0.01,2,0.48200000000000004,-3.266916222289453,0.9988666666666668,-0.020494570134298482
b1024,0.01,0,0.4741,-3.457172364915173,0.9985555555555556,-0.020730457326402427
b1024,0.01,1,0.4898,-3.504847075478392,0.9988666666666668,-0.01565425359227824
b1024,10.0,1,0.4697,-2.144152579828781,0.9785111111111112,-0.14655952789169194
b1024,10.0,0,0.4665,-2.2026415418101766,0.9760666666666666,-0.14625848340413247
b1024,10.0,2,0.4694,-2.1601193745365497,0.9761111111111112,-0.15649394835374605
b1024,1.0,2,0.4761,-2.7313135810859523,0.9946222222222222,-0.052927628839328514
b1024,1.0,1,0.4836,-2.8618968496306056,0.9951111111111112,-0.047566544082749344
b1024,1.0,0,0.474,-2.77702985802984,0.9951333333333332,-0.048273305877502726
b4096,0.01,0,0.4838,-1.9118178764410736,0.9073777777777776,-0.33905766239675683
b4096,0.01,2,0.4777,-1.8874718566250208,0.8886888888888889,-0.3755078329311495
b4096,0.01,1,0.4856,-1.8846792720962595,0.8792888888888889,-0.3983262223612757
b4096,0.1,2,0.4896,-1.6425355004036486,0.8822444444444445,-0.4555944580850254
b4096,0.1,0,0.4933,-1.7674436615356597,0.9296,-0.3285427104819378
b4096,0.1,1,0.4914,-1.684684769896723,0.8938888888888888,-0.4184477057507658
b4096,100.0,1,0.32799999999999996,-1.8425908332154155,0.3387333333333333,-1.8251287379158867
b4096,100.0,0,0.3351,-1.8191464365348218,0.34284444444444445,-1.8061279417703548
b4096,100.0,2,0.3242,-1.8583495445266367,0.3295111111111111,-1.8397224724110632
b4096,10.0,0,0.4795,-1.4844329680437498,0.605,-1.1503361532097964
b4096,10.0,2,0.48100000000000004,-1.4768904116898929,0.6057777777777777,-1.1498191658662968
b4096,10.0,1,0.4806,-1.4757639068102697,0.5851555555555555,-1.2020149856328728
b4096,1.0,0,0.501,-1.5252192915063678,0.8564666666666667,-0.553506862462094
b4096,1.0,2,0.5,-1.4841792272564387,0.8351333333333333,-0.6169866845226772
b4096,1.0,1,0.5007,-1.4893653417028163,0.8352,-0.6207161977669138
b256,100.0,0,0.4686,-2.7611588025875884,0.8528888888888889,-0.4030159803763881
b256,100.0,2,0.4667,-2.6299533550940484,0.8566888888888889,-0.3943860240828537
b256,100.0,1,0.4555,-3.2820803817509288,0.9071333333333332,-0.3104794137747432
b256,10.0,2,0.4331,-3.5612632906828834,0.9963111111111111,-0.027513882478979682
b256,10.0,0,0.4385,-3.4095347930974107,0.9966222222222222,-0.02598869659086369
b256,10.0,1,0.4476,-3.33601630163682,0.9968222222222224,-0.026647302519612327
b256,0.01,1,0.4626,-6.080513198839888,0.9975777777777778,-0.01070215761340604
b256,0.01,2,0.4615,-5.886967186088048,0.9973777777777778,-0.011163052795004631
b256,0.01,0,0.4689,-5.769484021027981,0.9980222222222224,-0.009275087266908604
b256,1.0,0,0.4407,-4.3176193194809915,0.9941333333333332,-0.02488704465789426
b256,1.0,1,0.447,-4.287407575988233,0.9947333333333334,-0.022795779395192638
b256,1.0,2,0.4334,-4.360226902855735,0.9949555555555556,-0.023020100783242545
b256,0.1,0,0.4502,-5.293682459012556,0.9951555555555556,-0.017364813595009528
b256,0.1,1,0.4494,-5.429619899923225,0.9942,-0.017929534625343125
b256,0.1,2,0.4583,-5.238243649462573,0.9949111111111112,-0.017334631082992255
